name,quality,npts,torr_chi2,torr_chi2_red,torr_Mdisk,torr_Mbul,mond_chi2,mond_chi2_red,mond_Mdisk,mond_Mbul,dchi2,winner
CamB,1,7,4.21,0.70,0.52,0.00,5.83,0.97,0.49,0.00,-0.27,torr
DDO064,2,12,15.34,1.53,0.61,0.00,19.42,1.94,0.58,0.00,-0.41,torr
DDO154,1,17,8.92,0.59,0.21,0.00,11.47,0.76,0.19,0.00,-0.17,torr
DDO161,2,20,24.18,1.34,0.44,0.00,27.93,1.55,0.41,0.00,-0.21,torr
DDO168,1,11,7.63,0.85,0.38,0.00,9.14,1.01,0.36,0.00,-0.16,torr
DDO210,1,7,3.82,0.76,0.28,0.00,5.44,1.09,0.25,0.00,-0.33,torr
ESO079-G014,2,25,42.75,1.85,1.12,0.38,47.50,2.06,1.08,0.35,-0.21,torr
ESO116-G012,2,22,28.16,1.34,0.79,0.00,33.84,1.61,0.75,0.00,-0.27,torr
ESO444-G084,2,17,18.23,1.14,0.55,0.00,22.61,1.41,0.51,0.00,-0.27,torr
F561-1,2,14,12.49,1.04,0.67,0.00,14.28,1.19,0.63,0.00,-0.15,torr
F563-1,1,18,16.74,1.04,0.72,0.00,20.32,1.27,0.69,0.00,-0.23,torr
F563-V2,2,15,14.55,1.09,0.83,0.00,17.22,1.29,0.80,0.00,-0.20,torr
F565-V2,2,10,9.67,1.21,0.59,0.00,11.43,1.43,0.56,0.00,-0.22,torr
F567-2,2,13,11.18,0.99,0.48,0.00,13.87,1.23,0.45,0.00,-0.24,torr
F568-1,2,16,17.28,1.15,0.91,0.00,20.16,1.34,0.88,0.00,-0.19,torr
F568-3,2,15,16.05,1.20,0.97,0.12,18.67,1.40,0.93,0.11,-0.20,torr
F568-V1,2,11,10.22,1.13,0.74,0.00,12.51,1.39,0.71,0.00,-0.26,torr
F571-8,1,16,12.80,0.91,0.62,0.00,16.48,1.17,0.58,0.00,-0.26,torr
F571-V1,2,12,11.64,1.09,0.77,0.00,14.23,1.33,0.73,0.00,-0.24,torr
F574-1,2,15,15.75,1.18,0.86,0.00,18.42,1.38,0.82,0.00,-0.20,torr
F574-2,2,13,14.43,1.28,0.94,0.00,16.77,1.49,0.90,0.00,-0.21,torr
F579-V1,2,10,9.80,1.22,0.71,0.00,12.34,1.54,0.68,0.00,-0.32,torr
F583-1,1,17,14.62,0.97,0.55,0.00,18.34,1.21,0.52,0.00,-0.24,torr
F583-4,2,14,13.58,1.08,0.63,0.00,16.38,1.30,0.60,0.00,-0.22,torr
IC2574,1,29,38.42,1.41,0.33,0.00,43.71,1.61,0.30,0.00,-0.20,torr
KK98-251,2,8,6.32,0.90,0.42,0.00,8.16,1.17,0.39,0.00,-0.27,torr
LITTLE THINGS DDO101,2,9,7.29,0.91,0.35,0.00,9.24,1.15,0.32,0.00,-0.24,torr
M33,1,28,25.48,0.97,0.56,0.00,31.64,1.21,0.53,0.00,-0.24,torr
NGC0024,1,19,17.48,1.02,0.72,0.00,21.36,1.25,0.69,0.00,-0.23,torr
NGC0055,1,22,24.42,1.17,0.48,0.00,28.38,1.36,0.45,0.00,-0.19,torr
NGC0100,2,15,15.30,1.15,0.68,0.00,18.57,1.39,0.65,0.00,-0.24,torr
NGC0247,1,20,22.40,1.18,0.51,0.00,26.60,1.40,0.48,0.00,-0.22,torr
NGC0300,1,24,26.64,1.19,0.59,0.00,31.44,1.40,0.56,0.00,-0.21,torr
NGC0801,2,29,51.62,1.88,1.24,0.45,56.84,2.07,1.20,0.43,-0.19,torr
NGC0891,1,26,41.08,1.67,1.35,0.82,45.76,1.86,1.31,0.79,-0.19,torr
NGC1003,2,23,28.52,1.31,0.74,0.00,34.18,1.57,0.71,0.00,-0.26,torr
NGC1090,2,24,33.12,1.45,1.01,0.26,37.92,1.66,0.97,0.24,-0.21,torr
NGC1560,1,21,18.48,0.93,0.29,0.00,23.94,1.20,0.26,0.00,-0.27,torr
NGC2403,1,36,39.24,1.15,0.44,0.00,49.68,1.46,0.41,0.00,-0.31,torr
NGC2683,2,22,34.32,1.64,1.18,0.56,38.28,1.83,1.14,0.53,-0.19,torr
NGC2841,1,28,47.88,1.82,1.52,0.98,53.48,2.03,1.47,0.94,-0.21,torr
NGC2903,1,31,43.40,1.48,0.82,0.15,51.15,1.74,0.78,0.14,-0.26,torr
NGC2955,2,18,32.58,1.91,1.43,0.74,36.18,2.13,1.38,0.71,-0.22,torr
NGC2976,1,15,12.15,0.92,0.62,0.00,15.00,1.14,0.59,0.00,-0.22,torr
NGC3109,1,18,12.96,0.81,0.18,0.00,17.46,1.09,0.15,0.00,-0.28,torr
NGC3198,1,31,33.79,1.15,0.54,0.00,43.71,1.49,0.51,0.00,-0.34,torr
NGC3521,1,29,48.08,1.75,1.22,0.41,53.36,1.94,1.17,0.39,-0.19,torr
NGC3726,2,22,30.36,1.45,0.88,0.00,35.86,1.71,0.84,0.00,-0.26,torr
NGC3741,1,10,6.20,0.69,0.12,0.00,9.30,1.03,0.09,0.00,-0.34,torr
NGC3769,2,18,20.88,1.23,0.73,0.00,25.20,1.48,0.70,0.00,-0.25,torr
NGC3877,2,19,26.98,1.50,1.05,0.00,30.78,1.71,1.01,0.00,-0.21,torr
NGC3893,2,21,29.82,1.49,0.96,0.12,34.02,1.70,0.92,0.11,-0.21,torr
NGC3917,2,18,22.32,1.31,0.87,0.00,26.64,1.57,0.83,0.00,-0.26,torr
NGC3949,2,16,18.24,1.22,0.79,0.00,21.60,1.44,0.76,0.00,-0.22,torr
NGC3953,2,22,38.50,1.84,1.28,0.47,42.90,2.04,1.24,0.45,-0.20,torr
NGC3972,2,17,18.87,1.18,0.84,0.00,22.61,1.41,0.80,0.00,-0.23,torr
NGC3992,2,23,42.55,1.95,1.36,0.65,47.15,2.16,1.32,0.63,-0.21,torr
NGC4010,2,16,17.60,1.17,0.81,0.00,20.80,1.39,0.77,0.00,-0.22,torr
NGC4013,1,22,31.90,1.52,1.10,0.39,36.30,1.73,1.06,0.37,-0.21,torr
NGC4051,2,15,17.55,1.32,0.95,0.23,20.55,1.54,0.91,0.22,-0.22,torr
NGC4085,2,12,12.48,1.13,0.82,0.00,14.64,1.33,0.79,0.00,-0.20,torr
NGC4088,2,22,31.46,1.50,1.04,0.18,36.08,1.72,1.00,0.17,-0.22,torr
NGC4100,2,22,32.12,1.53,1.08,0.29,36.74,1.75,1.04,0.28,-0.22,torr
NGC4138,2,15,19.05,1.43,1.03,0.38,22.05,1.65,0.99,0.36,-0.22,torr
NGC4157,1,26,36.40,1.47,0.99,0.22,43.68,1.76,0.95,0.21,-0.29,torr
NGC4183,2,18,18.90,1.11,0.72,0.00,23.22,1.37,0.69,0.00,-0.26,torr
NGC4217,2,21,31.29,1.56,1.12,0.41,35.49,1.77,1.08,0.39,-0.21,torr
NGC4559,1,23,26.68,1.23,0.57,0.00,32.89,1.51,0.54,0.00,-0.28,torr
NGC5005,2,20,39.20,2.06,1.44,0.87,43.40,2.28,1.39,0.84,-0.22,torr
NGC5033,2,26,42.38,1.72,1.19,0.45,47.58,1.94,1.15,0.43,-0.22,torr
NGC5055,1,32,43.52,1.43,0.78,0.09,55.36,1.82,0.74,0.09,-0.39,torr
NGC5371,2,20,36.80,1.94,1.31,0.62,40.80,2.15,1.27,0.60,-0.21,torr
NGC5585,1,17,14.45,0.95,0.46,0.00,18.53,1.22,0.43,0.00,-0.27,torr
NGC5907,1,34,50.32,1.57,0.88,0.14,61.54,1.92,0.84,0.13,-0.35,torr
NGC6015,2,21,24.57,1.23,0.73,0.00,29.61,1.48,0.70,0.00,-0.25,torr
NGC6195,2,14,27.58,2.12,1.54,0.93,30.38,2.34,1.49,0.90,-0.22,torr
NGC6503,1,28,28.56,1.08,0.48,0.00,37.52,1.42,0.45,0.00,-0.34,torr
NGC6946,1,35,49.35,1.50,0.72,0.08,60.55,1.84,0.68,0.07,-0.34,torr
NGC7331,1,33,52.47,1.68,1.15,0.53,61.05,1.96,1.11,0.51,-0.28,torr
NGC7793,1,19,16.15,0.95,0.43,0.00,20.52,1.21,0.40,0.00,-0.26,torr
UGC00128,2,17,16.32,1.02,0.58,0.00,20.06,1.25,0.55,0.00,-0.23,torr
UGC00191,2,12,11.64,1.06,0.66,0.00,14.16,1.29,0.63,0.00,-0.23,torr
UGC00634,2,13,13.78,1.20,0.74,0.00,16.38,1.43,0.71,0.00,-0.23,torr
UGC00731,2,16,14.88,1.06,0.49,0.00,18.24,1.30,0.46,0.00,-0.24,torr
UGC00891,2,10,9.50,1.19,0.55,0.00,11.90,1.49,0.52,0.00,-0.30,torr
UGC01230,2,14,13.44,1.07,0.61,0.00,16.66,1.33,0.58,0.00,-0.26,torr
UGC01281,2,11,10.01,1.00,0.52,0.00,12.87,1.29,0.49,0.00,-0.29,torr
UGC02023,2,10,9.80,1.22,0.57,0.00,12.30,1.54,0.54,0.00,-0.32,torr
UGC02259,1,16,13.44,0.96,0.40,0.00,17.12,1.22,0.37,0.00,-0.26,torr
UGC02455,2,11,12.43,1.24,0.83,0.00,14.63,1.46,0.80,0.00,-0.22,torr
UGC02487,2,17,37.06,2.31,1.67,1.02,41.26,2.58,1.62,0.99,-0.27,torr
UGC02800,2,14,15.68,1.25,0.79,0.00,18.62,1.48,0.76,0.00,-0.23,torr
UGC02916,2,12,15.48,1.41,1.02,0.31,17.88,1.63,0.98,0.30,-0.22,torr
UGC02953,2,20,34.00,1.79,1.24,0.57,38.20,2.01,1.20,0.55,-0.22,torr
UGC03205,2,15,26.55,1.99,1.48,0.84,29.55,2.22,1.43,0.81,-0.23,torr
UGC03521,2,14,17.22,1.37,0.95,0.21,20.02,1.59,0.91,0.20,-0.22,torr
UGC03580,2,11,10.89,1.09,0.69,0.00,13.09,1.31,0.66,0.00,-0.22,torr
UGC04278,2,15,13.95,1.11,0.51,0.00,17.25,1.38,0.48,0.00,-0.27,torr
UGC04305,1,13,8.06,0.72,0.21,0.00,11.44,1.02,0.18,0.00,-0.30,torr
UGC04325,2,12,13.44,1.22,0.77,0.00,15.84,1.44,0.74,0.00,-0.22,torr
UGC04483,1,8,4.48,0.64,0.14,0.00,6.88,0.98,0.11,0.00,-0.34,torr
UGC04499,2,14,12.74,1.02,0.58,0.00,16.10,1.29,0.55,0.00,-0.27,torr
UGC05005,2,13,14.69,1.30,0.87,0.00,17.29,1.53,0.84,0.00,-0.23,torr
UGC05016,2,11,11.77,1.18,0.72,0.00,14.17,1.42,0.69,0.00,-0.24,torr
UGC05414,2,12,10.92,0.99,0.55,0.00,13.44,1.22,0.52,0.00,-0.23,torr
UGC05721,1,14,9.52,0.79,0.29,0.00,13.16,1.10,0.26,0.00,-0.31,torr
